(30.333905254374553, 1, 'Arriving', 0)
(95.96165995999333, 2, 'Arriving', 1)
(147.0213580878296, 1, 'Testing', 2)
(208.97160218664393, 3, 'Arriving', 2)
(295.57534950775414, 4, 'Arriving', 3)
(356.29804844866953, 5, 'Arriving', 4)
(410.66394742428395, 6, 'Arriving', 5)
(482.5754266727015, 7, 'Arriving', 6)
(580.4693286120746, 8, 'Arriving', 7)
(638.5730089097083, 9, 'Arriving', 8)
(669.7351524508912, 10, 'Arriving', 9)
(704.7865939708186, 11, 'Arriving', 10)
(820.0375470617457, 12, 'Arriving', 11)
(891.3400084608102, 13, 'Arriving', 11)
(960.3387356017851, 14, 'Arriving', 11)
(1032.6140292231335, 15, 'Arriving', 11)
(1118.4600255247333, 16, 'Arriving', 11)
(1217.5446353855443, 17, 'Arriving', 11)
(1283.7120781652125, 18, 'Arriving', 11)
(1347.0213580878296, 1, 'Leaving', 11)
(1357.0003663532964, 19, 'Arriving', 10)
(1465.931426156998, 2, 'Testing', 11)
(1473.4878404703388, 20, 'Arriving', 11)
(1554.7826893836607, 21, 'Arriving', 11)
(1644.0979535260544, 22, 'Arriving', 11)
(1739.9925992576875, 23, 'Arriving', 11)
(1846.943677040547, 24, 'Arriving', 11)
(1936.721828167772, 25, 'Arriving', 11)
(2019.6199383299002, 26, 'Arriving', 11)
(2074.911366106038, 27, 'Arriving', 11)
(2140.154751721585, 28, 'Arriving', 11)
(2223.2076935990995, 29, 'Arriving', 11)
(2273.7521161840127, 30, 'Arriving', 11)
(2383.8336734435575, 31, 'Arriving', 11)
(2458.81549795826, 32, 'Arriving', 11)
(2542.9876301308545, 33, 'Arriving', 11)
(2660.4784492786234, 34, 'Arriving', 11)
(2665.931426156998, 2, 'Leaving', 11)
(2761.9913562644047, 35, 'Arriving', 10)
(2784.7701187317366, 3, 'Testing', 11)
(2832.639964063859, 36, 'Arriving', 11)
(2941.9016962706514, 37, 'Arriving', 11)
(3022.930709322521, 38, 'Arriving', 11)
(3134.390189299642, 39, 'Arriving', 11)
(3234.4187176315377, 40, 'Arriving', 11)
(3327.2368011893163, 41, 'Arriving', 11)
(3398.34952720008, 42, 'Arriving', 11)
(3449.662427230792, 43, 'Arriving', 11)
(3496.025114641394, 44, 'Arriving', 11)
(3579.531966604504, 45, 'Arriving', 11)
